S121C	2025-05-22 16:53:05
value unit [W]	time unit [ms]
wavelength	525.000nm
range	AUTO
6.205107E-07	180539
6.203795E-07	180839
6.202375E-07	181139
6.203618E-07	181439
6.208290E-07	181739
6.285002E-07	182046
6.216450E-07	182346
6.213793E-07	182646
6.213943E-07	182946
6.211571E-07	183246
6.215748E-07	183546
6.210553E-07	183846
6.213733E-07	184146
6.209872E-07	184446
6.206479E-07	184746
6.204961E-07	185046
6.202169E-07	185346
6.204829E-07	185646
6.201707E-07	185946
6.202646E-07	186246
6.200947E-07	186546
6.205128E-07	186846
6.209764E-07	187146
6.211210E-07	187447
6.207461E-07	187747
6.215338E-07	188047
6.208341E-07	188347
6.207305E-07	188647
6.205493E-07	188947
6.207600E-07	189247
6.199733E-07	189547
6.621776E-07	189847
6.733247E-07	190147
6.733758E-07	190447
6.728168E-07	190747
6.731978E-07	191047
6.734774E-07	191347
6.732544E-07	191647
6.731301E-07	191947
6.729530E-07	192247
6.730622E-07	192547
6.736125E-07	192847
6.734540E-07	193147
6.735185E-07	193447
6.741336E-07	193747
6.737666E-07	194047
6.733756E-07	194347
6.710948E-07	194648
6.739635E-07	194948
6.739008E-07	195248
6.736426E-07	195548
6.736495E-07	195848
6.737908E-07	196148
6.736492E-07	196448
6.732054E-07	196748
6.740081E-07	197048
6.731861E-07	197348
6.732512E-07	197648
6.732888E-07	197948
6.732080E-07	198248
6.734965E-07	198548
6.728659E-07	198848
6.732205E-07	199148
6.739602E-07	199448
6.954754E-07	199748
7.222838E-07	200048
7.220518E-07	200348
7.221590E-07	200648
7.219376E-07	200948
7.222601E-07	201248
7.216941E-07	201548
7.210322E-07	201850
7.229572E-07	202150
7.228087E-07	202450
7.223064E-07	202750
7.220042E-07	203050
7.220038E-07	203350
7.225457E-07	203650
7.224713E-07	203950
7.226408E-07	204250
7.237612E-07	204550
7.225317E-07	204850
7.224661E-07	205150
7.225145E-07	205450
7.222666E-07	205750
7.220447E-07	206050
7.223954E-07	206350
7.217566E-07	206650
7.219971E-07	206950
7.214795E-07	207250
7.223511E-07	207550
7.214539E-07	207850
7.224554E-07	208150
7.224102E-07	208450
7.224683E-07	208750
7.222624E-07	209050
7.218940E-07	209351
7.300702E-07	209651
7.733419E-07	209951
7.749005E-07	210251
7.755281E-07	210551
7.753118E-07	210851
7.751149E-07	211151
7.655069E-07	211457
7.750797E-07	211757
7.747134E-07	212057
7.752716E-07	212357
7.748029E-07	212657
7.753904E-07	212957
7.754328E-07	213257
7.754774E-07	213557
7.752027E-07	213857
7.750950E-07	214157
7.754481E-07	214457
7.752449E-07	214757
7.756593E-07	215057
7.752024E-07	215357
7.751284E-07	215657
7.750994E-07	215957
7.755888E-07	216257
7.753655E-07	216558
7.753035E-07	216858
7.755646E-07	217158
7.752194E-07	217458
7.752914E-07	217758
7.756659E-07	218058
7.749643E-07	218358
7.754031E-07	218658
7.755661E-07	218958
7.754733E-07	219258
7.754812E-07	219558
8.139556E-07	219858
8.238436E-07	220158
8.259528E-07	220458
8.259201E-07	220758
8.265443E-07	221058
8.257136E-07	221358
8.263595E-07	221658
8.265355E-07	221958
8.263970E-07	222258
8.261476E-07	222558
8.267290E-07	222858
8.288719E-07	223158
8.259907E-07	223458
8.280321E-07	223760
8.262137E-07	224060
8.259730E-07	224360
8.262120E-07	224660
8.263648E-07	224960
8.261536E-07	225260
8.262768E-07	225560
8.263859E-07	225860
